Title,Authors
Hybrid Agents for Image Restoration,"Bingchen Li, Xin Li, Yiting Lu, Zhibo Chen"
VideoScan: Enabling Efficient Streaming Video Understanding via Frame-level Semantic Carriers,"Ruanjun Li, Yuedong Tan, Yuanming Shi, Jiawei Shao"
GTR: Guided Thought Reinforcement Prevents Thought Collapse in RL-based VLM Agent Training,"Tong Wei, Yijun Yang, Junliang Xing, Yuanchun Shi, Zongqing Lu, Deheng Ye"
SegAgent: Exploring Pixel Understanding Capabilities in MLLMs by Imitating Human Annotator Trajectories,"Muzhi Zhu, Yuzhuo Tian, Hao Chen, Chunluan Zhou, Qingpei Guo, Yang Liu, Ming Yang, Chunhua Shen"
EMMOE: A Comprehensive Benchmark for Embodied Mobile Manipulation in Open Environments,"Dongping Li, Tielong Cai, Tianci Tang, Wenhao Chai, K. Driggs-Campbell, Gaoang Wang"
"Investigating the Effectiveness of a Socratic Chain-of-Thoughts Reasoning Method for Task Planning in Robotics, A Case Study","Veronica Bot, Zheyuan Xu"
GFlowVLM: Enhancing Multi-step Reasoning in Vision-Language Models with Generative Flow Networks,"Haoqiang Kang, Enna Sachdeva, Piyush Gupta, Sangjae Bae, Kwonjoon Lee"
Integrating Chain-of-Thought for Multimodal Alignment: A Study on 3D Vision-Language Learning,"Yanjun Chen, Yirong Sun, Xinghao Chen, Jian Wang, Xiaoyu Shen, Wenjie Li, Wei Zhang"
Generative Artificial Intelligence in Robotic Manipulation: A Survey,"Kun Zhang, Peng Yun, Jun Cen, Junhao Cai, Didi Zhu, Hangjie Yuan, Chao Zhao, Tao Feng, Michael Yu Wang, Qifeng Chen, Jia Pan, Wei Zhang, Bo Yang, Hua Chen"
EgoLife: Towards Egocentric Life Assistant,"Jingkang Yang, Shuai Liu, Hongming Guo, Yuhao Dong, Xiamengwei Zhang, Sicheng Zhang, Pengyun Wang, Zitang Zhou, Binzhu Xie, Ziyue Wang, Bei Ouyang, Zhengyu Lin, Marco Cominelli, Zhongang Cai, Yuanhan Zhang, Peiyuan Zhang, Fangzhou Hong, Joerg Widmer, Francesco Gringoli, Lei Yang, Bo Li, Ziwei Liu"
Stealthy Backdoor Attack in Self-Supervised Learning Vision Encoders for Large Vision Language Models,"Zhao Liu, Huan Zhang"
Progressive Local Alignment for Medical Multimodal Pre-training,"Huimin Yan, Xian Yang, Liang Bai, Jiye Liang"
